Have you studied data visualization in school (or other formal environment) or did you learn how to do it on your own?,What technologies do you use to visualize data? Select all that apply.
Mostly Self-Taught,"D3, Excel, Highcharts, Illustrator, Leaflet, Mapbox, Python, QGIS, Tableau, WebGL, Canvas"
Mostly Self-Taught,"Excel, ggplot2, Leaflet, Plotly, R"
Equal Parts School and Self-Taught,"ArcGIS, Excel, QGIS, SAS"
Mostly Self-Taught,"Excel, Power BI"
Mostly Self-Taught,"Excel, ggplot2, R"
Mostly Self-Taught,"Excel, Illustrator, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Illustrator, Unreal Engine"
Mostly Self-Taught,"Plotly, Python, QGIS, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Cytoscape, Excel, ggplot2, Plotly, Python, R, Inkscape "
Equal Parts School and Self-Taught,"Plotly, Python, MATLAB"
Mostly Self-Taught,"Excel, ggplot2, R, Pen & Paper, SAS Visual Analytics"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Leaflet, QGIS, R"
Mostly Self-Taught,"ggplot2, Illustrator, R, Tableau"
Equal Parts School and Self-Taught,"Tableau, Pen & Paper"
Mostly Self-Taught,"D3, ggplot2, Highcharts, Leaflet, Plotly, R"
Mostly Self-Taught,"Excel, ggplot2, Power BI"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Mapbox, Python, R, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper, SAS"
Equal Parts School and Self-Taught,"Excel, ggplot2, Leaflet, Plotly, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Tableau, Pen & Paper"
Mostly Self-Taught,"ggplot2, Plotly, Python, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, React, chartjs, Sketch"
Equal Parts School and Self-Taught,"D3, Highcharts, Python, React, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, Python, Tableau, Pen & Paper, Google Data Studio"
Mostly Self-Taught,"ArcGIS, D3, Illustrator, Java, Leaflet, Plotly, Python, Tableau, WebGL, Pen & Paper, P5/Processing, Matplotlib"
Equal Parts School and Self-Taught,"Cytoscape, D3, ggplot2, R, Tableau"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Illustrator, R"
Mostly Self-Taught,"Excel, Pen & Paper"
Mostly From School (or other formal courses),"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Pen & Paper"
Mostly Self-Taught,"Excel, Power BI, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"ArcGIS, Excel, Power BI, Tableau"
Mostly Self-Taught,Chartio
Equal Parts School and Self-Taught,"Excel, ggplot2, R"
Equal Parts School and Self-Taught,"Excel, Ibm cognos"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"D3, Excel, Illustrator, Plotly, Python, Tableau, Pen & Paper, Matplotlib, Infogram, Datawrapper"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, R, Tableau"
Equal Parts School and Self-Taught,"Excel, ggplot2, Power BI, R, Tableau, Pen & Paper"
Mostly From School (or other formal courses),"ArcGIS, D3, ggplot2, Gephi, Python, R, Tableau"
Equal Parts School and Self-Taught,"Excel, ggplot2, R, Pen & Paper, Other physical materials"
Mostly Self-Taught,Illustrator
Mostly From School (or other formal courses),"D3, Gephi, Illustrator, Java, Tableau"
Mostly Self-Taught,"ggplot2, Python, Matplotlib"
Mostly Self-Taught,"ggplot2, R"
Equal Parts School and Self-Taught,"Illustrator, Matlab"
Mostly Self-Taught,"Excel, R, Pen & Paper"
Equal Parts School and Self-Taught,"ggplot2, R"
Equal Parts School and Self-Taught,"ArcGIS, Excel, Illustrator, Tableau, Canvas"
Equal Parts School and Self-Taught,"ggplot2, Leaflet, Plotly, Python, QGIS, R, Vega, WebGL, Matplotlib"
Mostly Self-Taught,"Excel, Illustrator, Java, Python, R, ImageJ/Fiji"
Mostly Self-Taught,"ggplot2, Illustrator, Plotly, R"
Mostly Self-Taught,"D3, Angular, React"
Equal Parts School and Self-Taught,"D3, Leaflet, Python, React, Vega"
Mostly Self-Taught,"Excel, ggplot2, Mapbox, Plotly, Power BI, Python, Pen & Paper, Matplotlib"
Mostly Self-Taught,"Excel, ggplot2, R, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"ggplot2, Leaflet, Plotly, R, Tableau"
Mostly Self-Taught,"ArcGIS, Illustrator, QGIS, Canva"
Mostly Self-Taught,"Excel, Illustrator, Web Components, Pen & Paper"
Mostly Self-Taught,ggplot2
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Plotly, R"
Mostly From School (or other formal courses),"Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Highcharts, Illustrator, Plotly, Python, Matplotlib"
Mostly Self-Taught,"Excel, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, D3, Excel, ggplot2, Gephi, Highcharts, Leaflet, Plotly, Power BI, Python, QGIS, Qlik, R, Tableau, Pentaho"
Equal Parts School and Self-Taught,"ggplot2, Illustrator, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Angular, Excel, Illustrator, Mapbox, Python, QGIS, React, Pen & Paper, Adobe XD, Axure"
Mostly Self-Taught,"D3, Excel, Illustrator, React"
Mostly Self-Taught,"D3, Leaflet, Mapbox, Python, QGIS, React, Tableau, Vue, Web Components, WebGL, Carto, turf.js"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"ggplot2, R"
Mostly Self-Taught,"ggplot2, Power BI, R"
Equal Parts School and Self-Taught,"ArcGIS, D3, Excel, Illustrator, Leaflet, Mapbox, Processing, Pen & Paper, Canvas, p5.js, NodeBox"
Mostly Self-Taught,"ggplot2, R"
Mostly Self-Taught,"D3, Excel, Highcharts, Illustrator, Mapbox, R, Tableau, Vue, Web Components, Canvas"
Equal Parts School and Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"ArcGIS, Excel, Power BI"
Mostly Self-Taught,"Cytoscape, ggplot2, Illustrator, Plotly, R, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, ggplot2, R, Tableau"
Mostly Self-Taught,"D3, Tableau, Sketch (software) mock ups "
Equal Parts School and Self-Taught,"Excel, Illustrator, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"ArcGIS, D3, Leaflet, Mapbox, Vue, WebGL, Canvas, Britecharts"
Mostly Self-Taught,"D3, Angular, Excel, Java, Python, Tableau, Web Components"
Mostly Self-Taught,"D3, Plotly, React"
Mostly Self-Taught,"D3, Python"
Mostly Self-Taught,"Excel, Python, R, React, Web Components, Pen & Paper"
Mostly Self-Taught,"ArcGIS, ggplot2, QGIS, R, Pen & Paper"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"D3, Excel, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Tableau, SAP Business Objects"
Mostly Self-Taught,"D3, Mapbox, Tableau"
Mostly Self-Taught,"ArcGIS, Excel, Power BI, R, Web Components, Canva"
Equal Parts School and Self-Taught,"ArcGIS, D3, ggplot2, Illustrator, Mapbox, QGIS, R"
Mostly Self-Taught,"D3, Excel, Illustrator, Pen & Paper, Other physical materials, Matlab"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Tableau"
Equal Parts School and Self-Taught,"D3, Leaflet, Python, R, Pen & Paper, Canvas, P5/Processing"
Equal Parts School and Self-Taught,"Excel, ggplot2, R, Pen & Paper"
Equal Parts School and Self-Taught,"Illustrator, Pen & Paper, MS PowerPoint"
Equal Parts School and Self-Taught,"Excel, Tableau, Pen & Paper"
Mostly Self-Taught,"Tableau, SQL Developer"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Excel, Illustrator, Powerpoint, word"
Mostly Self-Taught,"D3, Python, Tableau"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Processing, Python, QGIS, Pen & Paper, Canvas, P5/Processing, Matplotlib"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, R, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Power BI, Tableau, Pen & Paper, Other physical materials, It is highly variable"
Mostly Self-Taught,"D3, Illustrator, Processing, Pen & Paper, Domo, google Sheets"
Mostly Self-Taught,"D3, React, WebGL, Pen & Paper, Canvas"
Equal Parts School and Self-Taught,"Excel, Illustrator, Processing, Tableau, Pen & Paper, Canvas, P5/Processing"
Equal Parts School and Self-Taught,"Excel, R, Pen & Paper, PPT"
Mostly Self-Taught,"D3, Excel, ggplot2, Illustrator, Python, QGIS, R, Tableau, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, ggplot2, Highcharts, Illustrator, Leaflet, Plotly, Processing, Python, R, Tableau, Greensock"
Mostly Self-Taught,"D3, Excel, Illustrator, React, Web Components, WebGL, Pen & Paper, Greensock, Canvas"
Equal Parts School and Self-Taught,"ArcGIS, Cytoscape, ggplot2, Gephi, Highcharts"
Mostly From School (or other formal courses),"ArcGIS, Excel, Python, QGIS"
Equal Parts School and Self-Taught,"D3, Mapbox, Plotly, Python, React, Matplotlib"
Mostly Self-Taught,"D3, React, Semiotic, Canvas"
Equal Parts School and Self-Taught,Excel
Mostly Self-Taught,"Excel, ggplot2, Mapbox, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Mapbox, R, Tableau"
Equal Parts School and Self-Taught,"Excel, Mapbox, Power BI, Python, R, Tableau"
Mostly Self-Taught,"Excel, Power BI"
Mostly Self-Taught,"Excel, Power BI, Tableau, Pen & Paper"
Mostly From School (or other formal courses),"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau"
Mostly Self-Taught,"Excel, Tableau, Other physical materials"
Mostly Self-Taught,"Excel, Tableau, Pen & Paper"
Mostly Self-Taught,"Highcharts, Illustrator, Mapbox, React, Pen & Paper, Sketch, Figma, framers, uxpin"
Mostly Self-Taught,"Power BI, Python, Qlik, R, Tableau, Canvas"
Mostly Self-Taught,"Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Mapbox, Tableau, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, Tableau"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Cytoscape, Excel, ggplot2, Python, R, Matplotlib"
Mostly Self-Taught,"ArcGIS, Excel, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Microstrategy, R, Pen & Paper, Canvas"
Mostly Self-Taught,"Excel, ggplot2"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Highcharts, Mapbox, Power BI, Python, Qlik, Tableau, Pen & Paper, Matplotlib"
Equal Parts School and Self-Taught,"Excel, Illustrator, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Illustrator, Pen & Paper, Datawrapper"
Mostly From School (or other formal courses),"Excel, Illustrator, Web Components, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, Illustrator"
Equal Parts School and Self-Taught,"ArcGIS, Illustrator, Tableau"
Mostly Self-Taught,Excel
Mostly Self-Taught,"Excel, Mapbox, R, Tableau"
Mostly Self-Taught,"Excel, Highcharts, Illustrator, Processing, Pen & Paper, Other physical materials, Canvas"
Mostly Self-Taught,"Illustrator, Tableau, Pen & Paper"
Mostly Self-Taught,"ggplot2, Python, R, Tableau, Pen & Paper"
Mostly Self-Taught,"ggplot2, R"
Mostly From School (or other formal courses),"ArcGIS, D3, ggplot2, Illustrator, Leaflet, Mapbox, Plotly, Python, QGIS, R, Pen & Paper"
Mostly Self-Taught,"D3, Python"
Mostly Self-Taught,"ArcGIS, Excel, Gephi, Illustrator, Python, QGIS"
Equal Parts School and Self-Taught,"D3, Java, Leaflet, Mapbox, Power BI, Python, QGIS, R, Tableau, Matplotlib"
Mostly Self-Taught,"D3, Excel, ggplot2, Plotly, Python, R, Tableau"
Mostly Self-Taught,"D3, ggplot2, Illustrator, R, WebGL, Pen & Paper, Canvas"
Mostly Self-Taught,"D3, ggplot2, Leaflet, kepler.gl, Plotly, Python, R, React"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly Self-Taught,"D3, ggplot2, Leaflet, R"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Excel, Illustrator, Pen & Paper"
Mostly Self-Taught,"Illustrator, XD, sketch, Figma"
Mostly Self-Taught,"D3, Excel, WebGL"
Equal Parts School and Self-Taught,"D3, Leaflet, Mapbox, Python, QGIS, WebGL, google data studio"
Mostly Self-Taught,Excel
Mostly Self-Taught,PowerPoint 
Equal Parts School and Self-Taught,"Excel, Pen & Paper"
Mostly Self-Taught,"Excel, R, Pen & Paper"
Mostly Self-Taught,"Gephi, Illustrator, Mapbox, QGIS, Tableau, Pen & Paper, Rhino/Grasshopper "
Equal Parts School and Self-Taught,"Illustrator, Pen & Paper, inDesign, After Effects"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Illustrator, R, Tableau, Pen & Paper"
Mostly Self-Taught,"D3, Illustrator, Pen & Paper"
Mostly From School (or other formal courses),"Excel, Illustrator, Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Cytoscape, Excel, ggplot2, Gephi, Illustrator, Mapbox, R, Tableau, Web Components, Other physical materials"
Equal Parts School and Self-Taught,"Excel, ggplot2, R, Tableau"
Mostly Self-Taught,"Excel, Illustrator, R, Tableau"
Mostly From School (or other formal courses),"Excel, Gephi, Illustrator, Pen & Paper"
Mostly From School (or other formal courses),"Excel, Illustrator, Processing, Pen & Paper"
Equal Parts School and Self-Taught,"Illustrator, Processing, Pen & Paper, Other physical materials"
Mostly Self-Taught,"Illustrator, R, Pen & Paper, Greensock"
Equal Parts School and Self-Taught,"Excel, Illustrator, Tableau, Canvas"
Equal Parts School and Self-Taught,"D3, Excel, ggplot2, Highcharts, Leaflet, Plotly, R, Web Components"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"Excel, Gephi, Illustrator, Tableau, Pen & Paper, Piktochart"
Mostly Self-Taught,"Excel, Illustrator, Pen & Paper, InDesign"
Equal Parts School and Self-Taught,"ArcGIS, Excel, ggplot2, QGIS, R"
Mostly Self-Taught,Powerpoint
Equal Parts School and Self-Taught,"Excel, ggplot2, Power BI, R, Tableau"
Mostly Self-Taught,Excel
Mostly Self-Taught,"D3, Excel, ggplot2, R, Tableau"
Mostly Self-Taught,"Excel, Gephi, Tableau, Pen & Paper"
Mostly Self-Taught,"Excel, Mapbox, Tableau, Pen & Paper"
Mostly Self-Taught,"ggplot2, Illustrator, R"
Equal Parts School and Self-Taught,"ArcGIS, Excel"
Mostly Self-Taught,Tableau
Mostly Self-Taught,"D3, Leaflet, Mapbox, React"
Mostly Self-Taught,"Excel, ggplot2, QGIS, R"
Mostly Self-Taught,"Excel, Power BI, Tableau"
Mostly From School (or other formal courses),"Excel, Illustrator, Pen & Paper"
Mostly Self-Taught,"D3, Excel, Illustrator, Pen & Paper"
Equal Parts School and Self-Taught,"Excel, ggplot2, Illustrator, Java, Python"
Mostly From School (or other formal courses),"Tableau, Pen & Paper"
Equal Parts School and Self-Taught,"Highcharts, Illustrator, Mapbox, Plotly, Qlik, Tableau, Canvas"
Mostly Self-Taught,"ggplot2, Mapbox, Python, R, Tableau"
Equal Parts School and Self-Taught,"ArcGIS, Illustrator, R, Tableau, WebGL"
Mostly Self-Taught,"D3, Leaflet, Mapbox, Canvas"
Mostly Self-Taught,"Angular, Excel, Java, Plotly, Power BI, Python, React, Tableau"
Mostly From School (or other formal courses),"ArcGIS, Excel, Illustrator, Python, Tableau"
Mostly Self-Taught,"D3, Angular, ggplot2, R, Tableau, Pen & Paper, Other physical materials"
Mostly Self-Taught,"D3, Canvas"
Mostly Self-Taught,"Excel, ggplot2, Illustrator, Leaflet, Mapbox, Power BI, QGIS, R, Tableau"
Mostly Self-Taught,"Excel, ggplot2, Leaflet, R, Pen & Paper"
Mostly Self-Taught,"Excel, Illustrator, Web Components, Pen & Paper, Raw Graphics "
Mostly Self-Taught,Tableau
Equal Parts School and Self-Taught,Tableau
Equal Parts School and Self-Taught,"Excel, Illustrator, Power BI, Tableau, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, ggplot2, Gephi, Illustrator, R"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Python, Svelte"
Mostly Self-Taught,"ArcGIS, D3, Angular, Excel, ggplot2, Highcharts, Illustrator, Leaflet, Mapbox, Python, React, Tableau, Web Components, WebGL, Pen & Paper"
Mostly Self-Taught,"D3, Angular, Highcharts, Plotly, React"
Mostly Self-Taught,"Tableau, Pen & Paper, Sketch, PowerPoint"
,"Angular, Excel, ggplot2, Other physical materials"
Mostly Self-Taught,"Qlik, SAP"
Mostly Self-Taught,"ggplot2, R"
Mostly Self-Taught,"ArcGIS, Excel, Plotly, Python, Tableau, Matplotlib"
Equal Parts School and Self-Taught,"D3, Excel, Power BI, Python, R"
Equal Parts School and Self-Taught,"Python, QGIS, Pen & Paper, Other physical materials, Matplotlib"
Mostly Self-Taught,D3
Mostly Self-Taught,"Excel, Plotly, R, Tableau"
Mostly Self-Taught,
Mostly Self-Taught,"Power BI, Python, Tableau, Matplotlib"
Mostly Self-Taught,"ArcGIS, D3, Excel, Python, Matplotlib"
Equal Parts School and Self-Taught,"Excel, Pen & Paper"
Mostly Self-Taught,"ArcGIS, Excel, Gephi, Processing, QGIS, R, Tableau, Other physical materials, Powerpoint, "
Mostly Self-Taught,"D3, React, Web Components, WebGL, Canvas, vx"
Mostly Self-Taught,"ggplot2, Plotly, Python, R"
Mostly Self-Taught,"Cytoscape, D3, Excel, Highcharts, Illustrator, Mapbox, React"
Mostly Self-Taught,"D3, Excel, ggplot2, Highcharts, Leaflet, Python, R"
Mostly Self-Taught,"D3, Leaflet, Mapbox, React, nivo"
Mostly Self-Taught,Excel
Equal Parts School and Self-Taught,"Excel, ggplot2, Mapbox, Power BI"
Mostly Self-Taught,"ggplot2, Python, Tableau"
Mostly Self-Taught,
Mostly Self-Taught,
Mostly Self-Taught,"Mapbox, Microstrategy, Power BI, Python, R"
Mostly Self-Taught,"ArcGIS, ggplot2, Leaflet, Plotly, Python"
Mostly Self-Taught,"Excel, ggplot2, Python"
Mostly Self-Taught,"Excel, Power BI, Tableau, Canvas"
Equal Parts School and Self-Taught,"D3, Excel, Illustrator, Python, QGIS, Pen & Paper, Raw graphs"
Mostly Self-Taught,"D3, Canvas, Matplotlib"
